No,Topik,pertanyaan,jawaban,Pasal Sumber
63,KKN,Apa saja syarat untuk KKN Tematik dan KKN Internasional?,"Terdapat dua jenis KKN: KKN Tematik Kontekstual, dengan syarat IPK minimal 3,00 dan telah menempuh 100 SKS; serta KKN Internasional, dengan syarat IPK minimal 3,00, 100 SKS, dan TOEFL ≥ 450.",Pedoman KKN LPPM UNIB & Pasal 49
63,KKN,Bedanya KKN Tematik dan Internasional itu apa ya?,"Terdapat dua jenis KKN: KKN Tematik Kontekstual, dengan syarat IPK minimal 3,00 dan telah menempuh 100 SKS; serta KKN Internasional, dengan syarat IPK minimal 3,00, 100 SKS, dan TOEFL ≥ 450.",Pedoman KKN LPPM UNIB & Pasal 49
64,KKN,Apa itu penyetaraan KKN dan apa syaratnya?,"Penyetaraan KKN adalah pengakuan kegiatan setara KKN seperti program MBKM, dengan syarat memenuhi durasi, capaian pembelajaran, dan bukti pelaksanaan yang sah.",Pasal 49 ayat (5)
64,KKN,Jelaskan apa itu penyetaraan KKN!,"Penyetaraan KKN adalah pengakuan kegiatan setara KKN seperti program MBKM, dengan syarat memenuhi durasi, capaian pembelajaran, dan bukti pelaksanaan yang sah.",Pasal 49 ayat (5)
64,KKN,Program apa saja yang bisa disetarakan dengan KKN?,"Penyetaraan KKN adalah pengakuan kegiatan setara KKN seperti program MBKM, dengan syarat memenuhi durasi, capaian pembelajaran, dan bukti pelaksanaan yang sah.",Pasal 49 ayat (5)
64,KKN,Syarat agar kegiatan bisa disetarakan dengan KKN apa aja?,"Penyetaraan KKN adalah pengakuan kegiatan setara KKN seperti program MBKM, dengan syarat memenuhi durasi, capaian pembelajaran, dan bukti pelaksanaan yang sah.",Pasal 49 ayat (5)
65,KKN,Kuliah apa yang bisa disetarakan dengan KKN?,"Kegiatan seperti magang, proyek desa, pengabdian berbasis riset, atau kegiatan MBKM tertentu dapat disetarakan dengan KKN jika memenuhi ketentuan universitas.",Pasal 49 ayat (6)
65,KKN,Kegiatan MBKM apa yang bisa menggantikan KKN?,"Kegiatan seperti magang, proyek desa, pengabdian berbasis riset, atau kegiatan MBKM tertentu dapat disetarakan dengan KKN jika memenuhi ketentuan universitas.",Pasal 49 ayat (6)
65,KKN,Apakah magang bisa disetarakan dengan KKN?,"Kegiatan seperti magang, proyek desa, pengabdian berbasis riset, atau kegiatan MBKM tertentu dapat disetarakan dengan KKN jika memenuhi ketentuan universitas.",Pasal 49 ayat (6)
65,KKN,Contoh kegiatan pengganti KKN apa aja?,"Kegiatan seperti magang, proyek desa, pengabdian berbasis riset, atau kegiatan MBKM tertentu dapat disetarakan dengan KKN jika memenuhi ketentuan universitas.",Pasal 49 ayat (6)
66,LTA,Apa syarat untuk mengambil Laporan Tugas Akhir (LTA)?,Mahasiswa program vokasi dapat mengambil LTA jika telah menempuh minimal 100 SKS dan memenuhi ketentuan akademik program studi.,Pasal 50 ayat (2)
66,LTA,Syarat LTA untuk mahasiswa vokasi apa aja?,Mahasiswa program vokasi dapat mengambil LTA jika telah menempuh minimal 100 SKS dan memenuhi ketentuan akademik program studi.,Pasal 50 ayat (2)
66,LTA,Kapan mahasiswa boleh ambil LTA?,Mahasiswa program vokasi dapat mengambil LTA jika telah menempuh minimal 100 SKS dan memenuhi ketentuan akademik program studi.,Pasal 50 ayat (2)
66,LTA,Berapa SKS minimal untuk bisa ambil tugas akhir D3/D4?,Mahasiswa program vokasi dapat mengambil LTA jika telah menempuh minimal 100 SKS dan memenuhi ketentuan akademik program studi.,Pasal 50 ayat (2)
67,Skripsi,Apa syarat untuk mengambil skripsi?,"Mahasiswa sarjana dapat mengambil skripsi setelah menempuh minimal 120 SKS dan memiliki IPK minimal 2,00.",Pasal 50 ayat (3)
67,Skripsi,Syarat mengambil skripsi apa aja?,"Mahasiswa sarjana dapat mengambil skripsi setelah menempuh minimal 120 SKS dan memiliki IPK minimal 2,00.",Pasal 50 ayat (3)
67,Skripsi,Mahasiswa boleh ambil skripsi setelah berapa SKS?,"Mahasiswa sarjana dapat mengambil skripsi setelah menempuh minimal 120 SKS dan memiliki IPK minimal 2,00.",Pasal 50 ayat (3)
67,Skripsi,Berapa IPK minimal untuk bisa ambil skripsi?,` "Mahasiswa sarjana dapat mengambil skripsi setelah menempuh minimal 120 SKS dan memiliki IPK minimal 2,00.",Pasal 50 ayat (3)
68,Skripsi,Berapa jumlah pembimbing skripsi mahasiswa?,"Mahasiswa dibimbing oleh dua orang dosen pembimbing, yaitu pembimbing utama dan pembimbing pendamping.",Pasal 50 ayat (4)
68,Skripsi,Mahasiswa punya berapa pembimbing skripsi?,"Mahasiswa dibimbing oleh dua orang dosen pembimbing, yaitu pembimbing utama dan pembimbing pendamping.",Pasal 50 ayat (4)
68,Skripsi,Siapa saja yang membimbing skripsi mahasiswa?,"Mahasiswa dibimbing oleh dua orang dosen pembimbing, yaitu pembimbing utama dan pembimbing pendamping.",Pasal 50 ayat (4)
68,Skripsi,Apakah skripsi dibimbing lebih dari satu dosen?,"Mahasiswa dibimbing oleh dua orang dosen pembimbing, yaitu pembimbing utama dan pembimbing pendamping.",Pasal 50 ayat (4)
69,Skripsi,Apa syarat seminar atau ujian proposal skripsi?,Mahasiswa dapat mengikuti seminar atau ujian proposal jika telah menyelesaikan minimal 120 SKS dan mendapat persetujuan dari dosen pembimbing.,Pasal 51 ayat (1)
69,Skripsi,Syarat untuk seminar proposal apa aja?,Mahasiswa dapat mengikuti seminar atau ujian proposal jika telah menyelesaikan minimal 120 SKS dan mendapat persetujuan dari dosen pembimbing.,Pasal 51 ayat (1)
69,Skripsi,Kapan mahasiswa bisa ikut ujian proposal?,Mahasiswa dapat mengikuti seminar atau ujian proposal jika telah menyelesaikan minimal 120 SKS dan mendapat persetujuan dari dosen pembimbing.,Pasal 51 ayat (1)
69,Skripsi,Apakah harus izin pembimbing sebelum seminar proposal?,Mahasiswa dapat mengikuti seminar atau ujian proposal jika telah menyelesaikan minimal 120 SKS dan mendapat persetujuan dari dosen pembimbing.,Pasal 51 ayat (1)
70,Skripsi,Bagaimana pelaksanaan skripsi di UNIB?,Skripsi dilaksanakan sesuai pedoman akademik fakultas dengan bimbingan dosen pembimbing dan hasilnya dipresentasikan dalam ujian skripsi.,Pasal 51 ayat (3)
70,Skripsi,Proses pelaksanaan skripsi seperti apa?,Skripsi dilaksanakan sesuai pedoman akademik fakultas dengan bimbingan dosen pembimbing dan hasilnya dipresentasikan dalam ujian skripsi.,Pasal 51 ayat (3)
70,Skripsi,Bagaimana prosedur penyusunan skripsi?,Skripsi dilaksanakan sesuai pedoman akademik fakultas dengan bimbingan dosen pembimbing dan hasilnya dipresentasikan dalam ujian skripsi.,Pasal 51 ayat (3)
70,Skripsi,Siapa yang menilai hasil skripsi mahasiswa?,Skripsi dilaksanakan sesuai pedoman akademik fakultas dengan bimbingan dosen pembimbing dan hasilnya dipresentasikan dalam ujian skripsi.,Pasal 51 ayat (3)
71,Skripsi,Berapa nilai minimal untuk lulus skripsi?,"Mahasiswa dinyatakan lulus skripsi jika memperoleh nilai minimal C (2,00).",Pasal 52 ayat (2)
71,Skripsi,Nilai minimal lulus skripsi berapa?,"Mahasiswa dinyatakan lulus skripsi jika memperoleh nilai minimal C (2,00).",Pasal 52 ayat (2)
71,Skripsi,"Kalau dapat nilai D di skripsi, lulus nggak?","Mahasiswa dinyatakan lulus skripsi jika memperoleh nilai minimal C (2,00).",Pasal 52 ayat (2)
71,Skripsi,Standar kelulusan skripsi itu apa?,"Mahasiswa dinyatakan lulus skripsi jika memperoleh nilai minimal C (2,00).",Pasal 52 ayat (2)
72,Ujian Skripsi,Bagaimana penyelenggaraan ujian skripsi?,"Ujian skripsi dilaksanakan di hadapan tim penguji yang ditetapkan oleh dekan, terdiri atas dosen pembimbing dan penguji lain.",Pasal 52 ayat (1)
72,Ujian Skripsi,Siapa saja penguji dalam ujian skripsi?,"Ujian skripsi dilaksanakan di hadapan tim penguji yang ditetapkan oleh dekan, terdiri atas dosen pembimbing dan penguji lain.",Pasal 52 ayat (1)
72,Ujian Skripsi,Bagaimana pelaksanaan sidang skripsi di UNIB?,"Ujian skripsi dilaksanakan di hadapan tim penguji yang ditetapkan oleh dekan, terdiri atas dosen pembimbing dan penguji lain.",Pasal 52 ayat (1)
72,Ujian Skripsi,Apakah dosen pembimbing ikut menguji skripsi mahasiswa?,"Ujian skripsi dilaksanakan di hadapan tim penguji yang ditetapkan oleh dekan, terdiri atas dosen pembimbing dan penguji lain.",Pasal 52 ayat (1)
73,Penguji,Apa syarat dosen penguji skripsi?,Dosen penguji skripsi harus memiliki jabatan akademik minimal Lektor dan berasal dari bidang keilmuan yang relevan dengan topik penelitian mahasiswa.,Pasal 52 ayat (3)
73,Penguji,Siapa yang bisa jadi penguji skripsi?,Dosen penguji skripsi harus memiliki jabatan akademik minimal Lektor dan berasal dari bidang keilmuan yang relevan dengan topik penelitian mahasiswa.,Pasal 52 ayat (3)
73,Penguji,Kualifikasi dosen penguji skripsi seperti apa?,Dosen penguji skripsi harus memiliki jabatan akademik minimal Lektor dan berasal dari bidang keilmuan yang relevan dengan topik penelitian mahasiswa.,Pasal 52 ayat (3)
73,Penguji,Apakah pembimbing boleh juga jadi penguji skripsi?,Dosen penguji skripsi harus memiliki jabatan akademik minimal Lektor dan berasal dari bidang keilmuan yang relevan dengan topik penelitian mahasiswa.,Pasal 52 ayat (3)
74,Kelulusan,Apa syarat untuk lulus program sarjana?,"Mahasiswa lulus program sarjana jika telah menyelesaikan seluruh mata kuliah, skripsi, dan memperoleh IPK minimal 2,00.",Pasal 53
74,Kelulusan,Kapan mahasiswa dinyatakan lulus sarjana?,"Mahasiswa lulus program sarjana jika telah menyelesaikan seluruh mata kuliah, skripsi, dan memperoleh IPK minimal 2,00.",Pasal 53
74,Kelulusan,Apa kriteria kelulusan mahasiswa S1 di UNIB?,"Mahasiswa lulus program sarjana jika telah menyelesaikan seluruh mata kuliah, skripsi, dan memperoleh IPK minimal 2,00.",Pasal 53
74,Kelulusan,Mahasiswa dinyatakan lulus kalau sudah apa aja?,"Mahasiswa lulus program sarjana jika telah menyelesaikan seluruh mata kuliah, skripsi, dan memperoleh IPK minimal 2,00.",Pasal 53
77,Predikat Cumlaude,Apa syarat mendapatkan predikat pujian (cumlaude)?,"Mahasiswa memperoleh predikat pujian jika IPK ≥ 3,51, masa studi tidak lebih dari 8 semester, dan tidak pernah mengulang mata kuliah.",Pasal 55 ayat (2)
77,Predikat Cumlaude,Apa ketentuan IPK untuk cumlaude?,"Mahasiswa memperoleh predikat pujian jika IPK ≥ 3,51, masa studi tidak lebih dari 8 semester, dan tidak pernah mengulang mata kuliah.",Pasal 55 ayat (2)
77,Predikat Cumlaude,Syarat cumlaude bagi mahasiswa UNIB apa aja?,"Mahasiswa memperoleh predikat pujian jika IPK ≥ 3,51, masa studi tidak lebih dari 8 semester, dan tidak pernah mengulang mata kuliah.",Pasal 55 ayat (2)
77,Predikat Cumlaude,Bisakah dapat cumlaude kalau pernah remedial?,"Mahasiswa memperoleh predikat pujian jika IPK ≥ 3,51, masa studi tidak lebih dari 8 semester, dan tidak pernah mengulang mata kuliah.",Pasal 55 ayat (2)
78,Transkrip Akademik,Apa itu transkrip akademik?,Transkrip akademik adalah dokumen yang memuat seluruh nilai mata kuliah yang telah ditempuh mahasiswa selama studi.,Pasal 1 ayat (13)
78,Transkrip Akademik,Jelaskan isi dari transkrip akademik!,Transkrip akademik adalah dokumen yang memuat seluruh nilai mata kuliah yang telah ditempuh mahasiswa selama studi.,Pasal 1 ayat (13)
78,Transkrip Akademik,Apa fungsi transkrip akademik bagi lulusan?,Transkrip akademik adalah dokumen yang memuat seluruh nilai mata kuliah yang telah ditempuh mahasiswa selama studi.,Pasal 1 ayat (13)
78,Transkrip Akademik,Kapan mahasiswa mendapatkan transkrip akademik?,Transkrip akademik adalah dokumen yang memuat seluruh nilai mata kuliah yang telah ditempuh mahasiswa selama studi.,Pasal 1 ayat (13)
79,Wisuda,Apa itu wisuda?,Wisuda adalah upacara akademik sebagai tanda pengukuhan kelulusan mahasiswa dari universitas setelah dinyatakan lulus melalui yudisium.,Pasal 56
79,Wisuda,Jelaskan pengertian wisuda!,Wisuda adalah upacara akademik sebagai tanda pengukuhan kelulusan mahasiswa dari universitas setelah dinyatakan lulus melalui yudisium.,Pasal 56
79,Wisuda,Wisuda itu maksudnya apa ya?,Wisuda adalah upacara akademik sebagai tanda pengukuhan kelulusan mahasiswa dari universitas setelah dinyatakan lulus melalui yudisium.,Pasal 56
79,Wisuda,Apa makna acara wisuda bagi mahasiswa?,Wisuda adalah upacara akademik sebagai tanda pengukuhan kelulusan mahasiswa dari universitas setelah dinyatakan lulus melalui yudisium.,Pasal 56
80,Wisuda,Bagaimana prosedur pendaftaran wisuda?,"Pendaftaran wisuda dilakukan oleh mahasiswa yang telah lulus yudisium, melalui sistem administrasi akademik dengan menyerahkan dokumen kelulusan.",Pasal 56 ayat (2)
80,Wisuda,Cara daftar wisuda di UNIB gimana?,"Pendaftaran wisuda dilakukan oleh mahasiswa yang telah lulus yudisium, melalui sistem administrasi akademik dengan menyerahkan dokumen kelulusan.",Pasal 56 ayat (2)
80,Wisuda,Kapan waktu pendaftaran wisuda dibuka?,"Pendaftaran wisuda dilakukan oleh mahasiswa yang telah lulus yudisium, melalui sistem administrasi akademik dengan menyerahkan dokumen kelulusan.",Pasal 56 ayat (2)
80,Wisuda,Apa syarat administrasi untuk ikut wisuda?,"Pendaftaran wisuda dilakukan oleh mahasiswa yang telah lulus yudisium, melalui sistem administrasi akademik dengan menyerahkan dokumen kelulusan.",Pasal 56 ayat (2)
81,Masa Studi,Berapa batas maksimal waktu menyelesaikan program sarjana?,Batas maksimal masa studi program sarjana adalah 14 semester.,Pasal 10 ayat (5)
81,Masa Studi,Lama maksimal kuliah S1 di UNIB berapa semester?,Batas maksimal masa studi program sarjana adalah 14 semester.,Pasal 10 ayat (5)
81,Masa Studi,"Kalau kuliah lebih dari 14 semester, bagaimana statusnya?",Batas maksimal masa studi program sarjana adalah 14 semester.,Pasal 10 ayat (5)
81,Masa Studi,Berapa tahun maksimal untuk menyelesaikan kuliah sarjana?,Batas maksimal masa studi program sarjana adalah 14 semester.,Pasal 10 ayat (5)
82,KKN Tematik,Apa itu KKN Tematik dan apa syaratnya?,"KKN Tematik adalah kegiatan pengabdian dengan tema khusus seperti pendidikan, lingkungan, atau pemberdayaan masyarakat. Syaratnya: IPK ≥ 3,00 dan telah menempuh 100 SKS.",Pedoman KKN LPPM UNIB
82,KKN Tematik,Jelaskan pengertian dan syarat KKN Tematik!,"KKN Tematik adalah kegiatan pengabdian dengan tema khusus seperti pendidikan, lingkungan, atau pemberdayaan masyarakat. Syaratnya: IPK ≥ 3,00 dan telah menempuh 100 SKS.",Pedoman KKN LPPM UNIB
82,KKN Tematik,Mahasiswa bisa ikut KKN Tematik kalau sudah apa aja?,"KKN Tematik adalah kegiatan pengabdian dengan tema khusus seperti pendidikan, lingkungan, atau pemberdayaan masyarakat. Syaratnya: IPK ≥ 3,00 dan telah menempuh 100 SKS.",Pedoman KKN LPPM UNIB
82,KKN Tematik,KKN Tematik itu program seperti apa?,"KKN Tematik adalah kegiatan pengabdian dengan tema khusus seperti pendidikan, lingkungan, atau pemberdayaan masyarakat. Syaratnya: IPK ≥ 3,00 dan telah menempuh 100 SKS.",Pedoman KKN LPPM UNIB
83,KKN Internasional,Apa itu KKN Internasional dan apa syaratnya?,"KKN Internasional adalah kegiatan pengabdian masyarakat yang dilakukan di luar negeri. Syaratnya: IPK ≥ 3,00, minimal 100 SKS, dan TOEFL ≥ 450.",Pedoman KKN LPPM UNIB
83,KKN Internasional,Jelaskan pengertian KKN Internasional!,"KKN Internasional adalah kegiatan pengabdian masyarakat yang dilakukan di luar negeri. Syaratnya: IPK ≥ 3,00, minimal 100 SKS, dan TOEFL ≥ 450.",Pedoman KKN LPPM UNIB
83,KKN Internasional,Apa saja syarat mengikuti KKN Internasional?,"KKN Internasional adalah kegiatan pengabdian masyarakat yang dilakukan di luar negeri. Syaratnya: IPK ≥ 3,00, minimal 100 SKS, dan TOEFL ≥ 450.",Pedoman KKN LPPM UNIB
83,KKN Internasional,Bagaimana cara ikut KKN Internasional di UNIB?,"KKN Internasional adalah kegiatan pengabdian masyarakat yang dilakukan di luar negeri. Syaratnya: IPK ≥ 3,00, minimal 100 SKS, dan TOEFL ≥ 450.",Pedoman KKN LPPM UNIB
